time,X_value,Y_value,Z_value
Started:,Aug 16 2017,15:40:06:436, 
0.0000,0.00000,0.00000,0.00000
0.0867,0.30203,9.85121,2.60457
0.1325,0.33214,9.92630,1.60966
0.2324,0.39680,9.80585,1.50737
0.2816,-1.11470,9.51390,2.65903
0.3344,0.49405,9.75450,1.91628
0.4309,-1.37654,9.55348,2.09529
0.4808,-0.04146,9.78560,2.06657
0.5299,-0.42882,9.69434,0.88669
0.6298,0.56384,9.88715,1.79120
0.6789,-0.32329,9.69658,1.68092
0.7289,-0.63452,9.65413,1.53479
0.8280,-0.16530,9.76486,1.93611
0.8777,-0.35652,9.78732,1.31758
0.9277,-0.15649,9.78893,1.74907
1.0267,-0.22923,9.79973,1.81174
1.0768,-0.44736,9.78949,1.42673
1.1294,-0.58653,9.74139,0.51573
1.2264,-0.56909,9.74254,1.84850
1.2750,-0.30058,9.76486,1.57683
1.3751,0.44621,10.05820,1.66455
1.4239,-0.61366,9.72989,1.71584
1.4737,-0.37946,9.84865,0.95375
1.5734,-0.93671,9.69867,0.96933
1.6252,-0.53871,9.70825,1.95445
1.6728,0.31096,9.72398,1.73036
1.7732,-0.45232,9.77672,0.58945
1.8217,-0.29286,9.84845,1.14751
1.8719,0.06821,9.87814,1.28838
1.9707,-0.06404,9.92969,0.70808
2.0201,-0.15517,9.92763,0.28273
2.0696,-0.22176,9.93959,0.94148
2.1690,-0.30766,9.85263,0.66451
2.2185,-0.18216,9.95192,0.46535
2.2706,-0.31879,9.93602,0.23637
2.3677,-0.31956,9.93587,0.63789
2.4185,-0.30357,9.90710,0.64732
2.4668,-0.01917,9.94872,0.44765
2.5666,-0.30623,9.93980,0.73767
2.6158,-0.30466,9.93669,0.92104
2.7155,-0.13208,9.96114,0.36937
2.7650,-0.12619,9.97237,0.93057
2.8146,-0.31433,9.92755,0.35623
2.9169,-0.35591,9.95209,0.40707
2.9634,-0.22809,9.94463,0.51082
3.0134,-0.11403,9.93845,0.54138
3.1121,-0.48024,9.88451,0.63194
3.1631,-0.16750,9.94414,0.48621
3.2118,-0.02650,9.95000,0.41669
3.3116,-0.18942,9.94366,0.30807
3.3608,-0.27373,9.95119,0.51498
3.4108,-0.22450,9.94753,0.68675
3.5104,-0.21507,9.91104,0.49034
3.5640,-0.17940,9.92444,0.56268
3.6111,-0.11200,9.95801,0.40527
3.7373,-0.16171,9.93634,0.52908
3.7583,-0.21628,9.92834,0.44887
3.8573,-0.18071,9.94550,0.49092
3.9074,-0.22939,9.92957,0.47675
3.9688,-0.17896,9.94559,0.41357
4.0584,-0.22522,9.98401,0.40280
4.1122,-0.16869,9.95984,0.39769
4.1551,-0.11664,9.95024,0.44049
4.2545,-0.18472,9.91977,0.35506
4.3042,-0.15239,9.96446,0.37637
4.3593,-0.22472,9.94968,0.38387
4.4558,-0.15950,9.95839,0.41945
4.5031,-0.14452,9.91646,0.43239
4.5524,-0.21358,9.91754,0.32159
4.6520,-0.16579,9.97195,0.44194
4.7026,-0.21906,9.96483,0.45241
4.7527,-0.25581,9.95450,0.34346
4.8594,-0.22733,9.97421,0.37683
4.9080,-0.21022,9.96321,0.44792
5.0116,-0.26378,9.88800,0.36084
5.0498,-0.22169,9.97450,0.43086
5.0994,-0.22617,9.95529,0.38254
5.2253,-0.18053,9.97025,0.35947
5.2452,-0.25993,9.92517,0.56766
5.2885,-0.21968,9.92744,0.31404
5.4169,-0.20262,9.92943,0.52023
5.4862,-0.30768,9.91345,0.37254
5.5463,-0.25587,9.94936,0.46213
5.6134,-0.20743,9.95052,0.08476
5.6761,0.25595,9.98682,-0.82547
5.7412,-0.84441,9.54317,-0.85492
5.8043,-0.18578,8.61777,-1.26994
5.8686,-0.05508,4.76033,-2.15742
5.9335,-0.37386,-4.60905,-2.32510
5.9977,-0.12830,-8.33665,2.58316
6.0624,-0.20261,-0.84860,8.56120
6.1269,-0.39006,0.16637,9.23518
6.1922,-0.43388,0.22191,9.17409
6.2558,-0.48253,0.20840,9.21141
