time,X_value,Y_value,Z_value
Started:,Aug 16 2017,15:40:06:436, 
0.0000,0.00000,0.00000,0.00000
0.0726,0.46606,0.30343,1.73350
0.1285,1.22904,0.63901,0.49542
0.1983,0.97580,0.37212,0.14082
0.2577,-0.42640,0.12136,2.18634
0.3277,-0.46522,0.02020,-0.21600
0.3870,-0.71678,0.10272,0.75377
0.4567,-0.03017,0.19379,1.17451
0.5160,1.48743,0.45761,0.62400
0.5866,1.44037,0.42795,0.71944
0.6451,-0.19184,0.12137,0.94317
0.7145,1.03559,0.28782,0.19558
0.7743,-0.06088,0.13458,0.45531
0.8448,0.42971,0.30897,0.59339
0.9033,0.31847,0.25519,-0.09822
0.9728,0.56569,0.27576,0.73158
1.0327,-0.18151,0.21153,0.31896
1.1052,0.60276,0.28662,0.51185
1.1615,0.16834,0.19832,-0.48075
1.2318,0.37699,0.19410,0.54094
1.2907,0.52658,0.24744,0.53385
1.3608,1.20049,0.51186,0.62964
1.4199,0.06787,0.14591,1.05727
1.4891,0.48502,0.31518,-0.04014
1.5492,-0.02097,0.15617,-0.12073
1.6186,-0.33284,0.06454,0.98026
1.6782,1.00765,0.10963,0.77096
1.7477,0.20991,0.16744,-0.25576
1.8075,0.41533,0.24891,0.61262
1.8771,0.78706,0.26560,0.75094
1.9365,0.53804,0.29091,0.25347
2.0060,0.58812,0.30843,0.20103
2.0656,0.38822,0.25830,-0.26733
2.1393,0.36098,0.16788,0.40304
2.1949,0.07578,0.20889,0.18164
2.2649,0.56948,0.25480,0.16092
2.3236,0.17726,0.20440,0.47867
2.3938,0.18988,0.11309,-0.26963
2.4534,0.15472,0.13808,0.53304
2.5224,0.12089,0.15356,0.39879
2.5825,0.10511,0.08799,-0.00802
2.6514,0.08741,0.11912,0.59063
2.7111,0.21366,0.11022,-0.17497
2.7806,0.14348,0.05634,-0.78939
2.8402,0.05170,0.08326,0.18665
2.9089,0.00527,0.09949,0.02076
2.9690,0.11039,0.09728,0.34179
3.0368,0.26456,0.07650,0.08933
3.0983,-0.19869,0.01346,0.23846
3.1703,0.16704,0.07385,-0.05998
3.2275,0.27986,0.07390,0.03527
3.2968,0.12362,0.05875,-0.15982
3.3568,-0.04029,0.05046,0.32964
3.4260,0.05334,0.04898,0.28167
3.4860,0.07845,0.01796,0.10538
3.5640,-0.01620,-0.00775,-0.09113
3.6165,0.13618,0.05223,-0.02190
3.7050,0.08984,0.03146,0.11958
3.7455,0.06670,0.01291,0.07753
3.8134,0.06144,0.03013,0.07427
3.8733,-0.00182,-0.00321,0.01639
3.9515,0.04449,0.03492,0.14729
4.0056,0.06693,0.01814,-0.04263
4.0965,0.06504,0.04781,0.02550
4.1321,0.05408,0.00637,-0.03660
4.2054,0.11261,0.02021,0.06902
4.2603,0.04570,0.03688,-0.03037
4.3308,0.06437,0.01373,0.01285
4.3905,-0.02851,0.00788,0.00075
4.4764,0.02991,-0.01836,0.09327
4.5184,0.08425,-0.02283,0.00173
4.5886,-0.01842,-0.01628,-0.05747
4.6476,0.04947,0.04032,0.04611
4.7270,-0.02113,0.03136,0.04357
4.7784,-0.04998,0.00859,-0.01888
4.8593,0.00671,0.02446,0.02331
4.9081,0.03569,0.00694,0.11826
5.0114,-0.04795,-0.05536,-0.00404
5.0368,-0.00627,0.02669,0.08583
5.1038,-0.00635,0.00029,0.01734
5.2453,-0.03091,-0.02076,0.19396
5.2885,0.01400,-0.01425,-0.06499
5.3570,0.02869,-0.01089,0.14130
5.4177,-0.07022,-0.02672,-0.01111
5.4897,-0.00172,0.01209,0.10593
5.5471,-0.07405,-0.00617,-0.13268
5.6257,0.81514,0.12697,-1.26384
5.6775,-0.63585,-0.25792,-1.54868
5.7588,0.07508,-0.60557,-2.73504
5.8050,0.49109,-2.19605,-5.09904
5.8744,0.00193,-7.74311,-9.47661
5.9357,0.56867,-13.81874,-10.11551
6.0041,2.09639,1.14250,-0.72645
6.0631,3.06418,2.74613,0.91986
6.1327,3.03231,2.74956,0.83000
